"dates","variable"
2014-12-06,2.68231178779388e-06
2015-01-05,4.54448718301137e-06
2015-02-03,5.27188876731088e-06
2015-03-06,1.64810571732232e-05
2015-04-05,3.11753901769407e-05
2015-05-06,4.13817397202365e-05
2015-06-05,3.54358962795231e-05
2015-07-06,3.38872378051747e-05
2015-08-06,2.0725829017465e-05
2015-09-05,1.18664711408201e-05
2015-10-06,4.98307508678408e-06
2015-11-05,2.13356884160021e-06
2015-12-06,1.52740790326789e-06
2016-01-05,5.78199978917837e-06
2016-02-03,8.35208720673108e-06
2016-03-05,1.95517695829039e-05
2016-04-04,2.84682919300394e-05
2016-05-05,3.26814588333946e-05
2016-06-04,4.12761000916362e-05
2016-07-05,3.2807351090014e-05
2016-08-05,2.22236139961751e-05
2016-09-04,1.1805209396698e-05
2016-10-05,4.95291942570475e-06
2016-11-04,2.36616210713692e-06
2016-12-05,1.13153384972975e-06
2017-01-04,5.01472823088989e-06
2017-02-02,1.02968624560162e-05
2017-03-05,2.4992463295348e-05
2017-04-04,3.21446677844506e-05
2017-05-05,3.97164658352267e-05
2017-06-04,4.10529064538423e-05
2017-07-05,3.51993730873801e-05
2017-08-05,1.96965011127759e-05
2017-09-04,1.16251330837258e-05
2017-10-05,4.79446771350922e-06
2017-11-04,2.97320889330877e-06
2017-12-05,1.13950443392241e-06
2018-01-04,2.21510504161415e-06
2018-02-02,1.00417983048828e-05
2018-03-05,1.64701486937702e-05
2018-04-04,2.84389443550026e-05
2018-05-05,3.46948727383278e-05
2018-06-04,3.8835612940602e-05
2018-07-05,2.91455417027464e-05
2018-08-05,2.36215018958319e-05
2018-09-04,1.03882348412299e-05
2018-10-05,5.61699880563538e-06
2018-11-04,4.14691930927802e-06
2018-12-05,1.47329785704642e-06
2019-01-04,2.48887772613671e-06
2019-02-02,6.5423441810708e-06
2019-03-05,1.57739268615842e-05
2019-04-04,2.5149865905405e-05
2019-05-05,3.3812400943134e-05
2019-06-04,3.32757081196178e-05
2019-07-05,2.95472818834241e-05
2019-08-05,2.07042339752661e-05
2019-09-04,1.13393480205559e-05
2019-10-05,6.02869567956077e-06
2019-11-04,3.60902163265564e-06
2019-12-05,1.30280795929139e-06
2020-01-04,3.03231513498758e-06
2020-02-02,8.51838740345556e-06
2020-03-04,1.80758306669304e-05
2020-04-03,3.06453366647474e-05
2020-05-04,3.02653461403679e-05
2020-06-03,3.48046414728742e-05
2020-07-04,2.91068990918575e-05
2020-08-04,1.96618639165536e-05
2020-09-03,1.07014820969198e-05
2020-10-04,4.75286560686072e-06
2020-11-03,1.57094302721816e-06
2020-12-04,2.57377701018413e-06
2021-01-03,2.46434956352459e-06
2021-02-01,8.6120790001587e-06
2021-03-04,1.77343445102451e-05
2021-04-03,2.66600582108367e-05
2021-05-04,3.77681426471099e-05
2021-06-03,3.89318447560072e-05
2021-07-04,2.66500537691172e-05
2021-08-04,1.69389841175871e-05
