"dates","variable"
2014-12-06,277.322265625
2015-01-05,293.273071289062
2015-02-03,311.539581298828
2015-03-06,381.626922607422
2015-04-05,417.372680664062
2015-05-06,397.027252197266
2015-06-05,402.987762451172
2015-07-06,387.992736816406
2015-08-06,357.184356689453
2015-09-05,316.10302734375
2015-10-06,307.183074951172
2015-11-05,295.207885742188
2015-12-06,284.646453857422
2016-01-05,291.606292724609
2016-02-03,318.200408935547
2016-03-05,311.256286621094
2016-04-04,382.638977050781
2016-05-05,385.056427001953
2016-06-04,379.236114501953
2016-07-05,392.605773925781
2016-08-05,369.290405273438
2016-09-04,335.117279052734
2016-10-05,310.850738525391
2016-11-04,283.446868896484
2016-12-05,269.210632324219
2017-01-04,277.860778808594
2017-02-02,312.936248779297
2017-03-05,342.821258544922
2017-04-04,400.221984863281
2017-05-05,351.836242675781
2017-06-04,371.260925292969
2017-07-05,389.513488769531
2017-08-05,375.250122070312
2017-09-04,329.987976074219
2017-10-05,298.177398681641
2017-11-04,287.218963623047
2017-12-05,278.703216552734
2018-01-04,284.252868652344
2018-02-02,310.285186767578
2018-03-05,327.583160400391
2018-04-04,399.354309082031
2018-05-05,420.281463623047
2018-06-04,400.019500732422
2018-07-05,391.539733886719
2018-08-05,386.936981201172
2018-09-04,359.184265136719
2018-10-05,316.974426269531
2018-11-04,296.772766113281
2018-12-05,291.148529052734
2019-01-04,315.857055664062
2019-02-02,348.385375976562
2019-03-05,357.785125732422
2019-04-04,382.061401367188
2019-05-05,419.113067626953
2019-06-04,388.936492919922
2019-07-05,375.449127197266
2019-08-05,349.934143066406
2019-09-04,323.405426025391
2019-10-05,305.186004638672
2019-11-04,284.151184082031
2019-12-05,273.234436035156
2020-01-04,298.104522705078
2020-02-02,313.629028320312
2020-03-04,358.598876953125
2020-04-03,387.238098144531
2020-05-04,387.828399658203
2020-06-03,376.765411376953
2020-07-04,383.184753417969
2020-08-04,355.907379150391
2020-09-03,351.148071289062
2020-10-04,301.184814453125
2020-11-03,286.497375488281
2020-12-04,273.474548339844
2021-01-03,302.889617919922
2021-02-01,336.880523681641
2021-03-04,355.737121582031
2021-04-03,397.146789550781
2021-05-04,406.186187744141
2021-06-03,375.713745117188
2021-07-04,382.240295410156
2021-08-04,357.641632080078
2021-09-03,345.958465576172
2021-10-04,309.694000244141
2021-11-03,280.640014648438
2021-12-04,279.363647460938
2022-01-03,305.324554443359
2022-02-01,314.467407226562
2022-03-04,348.207244873047
2022-04-03,405.313507080078
2022-05-04,424.548309326172
2022-06-03,390.999420166016
2022-07-04,380.763793945312
2022-08-04,360.981323242188
2022-09-03,340.375091552734
2022-10-04,320.498291015625
2022-11-03,290.069976806641
2022-12-04,278.848510742188
2023-01-03,299.993011474609
2023-02-01,318.969879150391
2023-03-04,331.189147949219
2023-04-03,394.3271484375
2023-05-04,398.61376953125
2023-06-03,379.225555419922
2023-07-04,381.532379150391
2023-08-04,356.824432373047
2023-09-03,355.599456787109
2023-10-04,306.031890869141
2023-11-03,280.861419677734
2023-12-04,286.426666259766
2024-01-03,287.151214599609
2024-02-01,311.638458251953
2024-03-03,337.214874267578
2024-04-02,369.899383544922
2024-05-03,406.956085205078
2024-06-02,404.630676269531
2024-07-03,386.510437011719
2024-08-03,362.850219726562
2024-09-02,365.139251708984
2024-10-03,361.472869873047
2024-11-02,281.821258544922
2024-12-03,278.917449951172
2025-01-02,286.375366210938
2025-01-31,319.818969726562
2025-03-03,369.964599609375
2025-04-02,408.251922607422
2025-05-03,375.790161132812
2025-06-02,379.314056396484
2025-07-03,381.878204345703
2025-08-03,357.057220458984
2025-09-02,337.398315429688
2025-10-03,336.678131103516
2025-11-02,283.131988525391
2025-12-03,277.570220947266
2026-01-02,290.006317138672
2026-01-31,329.550048828125
2026-03-03,333.782958984375
2026-04-02,398.769714355469
2026-05-03,416.928039550781
2026-06-02,397.838500976562
2026-07-03,379.966735839844
2026-08-03,374.148101806641
2026-09-02,345.301605224609
2026-10-03,306.176513671875
2026-11-02,280.036865234375
2026-12-03,268.349334716797
2027-01-02,277.828063964844
2027-01-31,314.362915039062
2027-03-03,334.217712402344
2027-04-02,382.881591796875
2027-05-03,403.796569824219
2027-06-02,377.966857910156
2027-07-03,381.995239257812
2027-08-03,376.812286376953
2027-09-02,360.5625
2027-10-03,309.886291503906
2027-11-02,276.279052734375
2027-12-03,277.947479248047
2028-01-02,307.650054931641
2028-01-31,294.363952636719
2028-03-02,340.145690917969
2028-04-01,415.011596679688
