"dates","variable"
2014-12-06,382.296447753906
2015-01-05,402.670227050781
2015-02-03,426.771057128906
2015-03-06,482.076843261719
2015-04-05,505.790435791016
2015-05-06,520.849792480469
2015-06-05,519.859924316406
2015-07-06,505.016784667969
2015-08-06,477.181030273438
2015-09-05,439.126953125
2015-10-06,413.190063476562
2015-11-05,398.92333984375
2015-12-06,388.740936279297
2016-01-05,397.117736816406
2016-02-03,429.317352294922
2016-03-05,441.194976806641
2016-04-04,502.404663085938
2016-05-05,515.912475585938
2016-06-04,505.757415771484
2016-07-05,501.406219482422
2016-08-05,481.439086914062
2016-09-04,447.340637207031
2016-10-05,417.148895263672
2016-11-04,386.755126953125
2016-12-05,378.673553466797
2017-01-04,389.377319335938
2017-02-02,422.344909667969
2017-03-05,464.073791503906
2017-04-04,493.216979980469
2017-05-05,481.689880371094
2017-06-04,494.633728027344
2017-07-05,504.582397460938
2017-08-05,487.787536621094
2017-09-04,451.026550292969
2017-10-05,412.839965820312
2017-11-04,390.207336425781
2017-12-05,382.686309814453
2018-01-04,395.516510009766
2018-02-02,426.861907958984
2018-03-05,453.704498291016
2018-04-04,506.878204345703
2018-05-05,492.705932617188
2018-06-04,506.729858398438
2018-07-05,504.891052246094
2018-08-05,500.045959472656
2018-09-04,467.525085449219
2018-10-05,424.251586914062
2018-11-04,398.047180175781
2018-12-05,387.264953613281
2019-01-04,411.222473144531
2019-02-02,450.603820800781
2019-03-05,480.953216552734
2019-04-04,495.618408203125
2019-05-05,526.903686523438
2019-06-04,511.874176025391
2019-07-05,494.280212402344
2019-08-05,469.550537109375
2019-09-04,436.206756591797
2019-10-05,412.117706298828
2019-11-04,385.098327636719
2019-12-05,376.7939453125
2020-01-04,400.358428955078
2020-02-02,430.878479003906
2020-03-04,468.240905761719
2020-04-03,512.06494140625
2020-05-04,505.831298828125
2020-06-03,496.932067871094
2020-07-04,495.520141601562
2020-08-04,476.056854248047
2020-09-03,461.201934814453
2020-10-04,409.539001464844
2020-11-03,382.384979248047
2020-12-04,377.085876464844
2021-01-03,403.811462402344
2021-02-01,439.155120849609
2021-03-04,462.308898925781
2021-04-03,503.803161621094
2021-05-04,519.158203125
2021-06-03,507.466979980469
2021-07-04,504.473327636719
2021-08-04,483.737762451172
2021-09-03,457.485076904297
2021-10-04,416.210296630859
2021-11-03,389.521911621094
2021-12-04,381.936737060547
2022-01-03,419.297454833984
2022-02-01,436.593597412109
2022-03-04,470.103576660156
2022-04-03,512.955078125
2022-05-04,526.3466796875
2022-06-03,514.853271484375
2022-07-04,501.962219238281
2022-08-04,479.462432861328
2022-09-03,453.949127197266
2022-10-04,426.521575927734
2022-11-03,392.039916992188
2022-12-04,381.864318847656
2023-01-03,406.333770751953
2023-02-01,432.550811767578
2023-03-04,449.918518066406
2023-04-03,496.333557128906
2023-05-04,506.148193359375
2023-06-03,500.551300048828
2023-07-04,501.197448730469
2023-08-04,477.644561767578
2023-09-03,461.984680175781
2023-10-04,413.665222167969
2023-11-03,383.998901367188
2023-12-04,392.076934814453
2024-01-03,398.418365478516
2024-02-01,434.932586669922
2024-03-03,463.553070068359
2024-04-02,492.620971679688
2024-05-03,528.701477050781
2024-06-02,523.924011230469
2024-07-03,509.010833740234
2024-08-03,485.675842285156
2024-09-02,469.351745605469
2024-10-03,446.516204833984
2024-11-02,385.550659179688
2024-12-03,383.951507568359
2025-01-02,399.864685058594
2025-01-31,441.619384765625
2025-03-03,477.316192626953
2025-04-02,499.100494384766
2025-05-03,498.553833007812
2025-06-02,503.843444824219
2025-07-03,502.083190917969
2025-08-03,479.047790527344
2025-09-02,455.354125976562
2025-10-03,444.625152587891
2025-11-02,391.195983886719
2025-12-03,380.56884765625
2026-01-02,392.769592285156
2026-01-31,442.663360595703
2026-03-03,464.123657226562
2026-04-02,507.932769775391
2026-05-03,526.427001953125
2026-06-02,511.087799072266
2026-07-03,503.282836914062
2026-08-03,482.937438964844
2026-09-02,455.039642333984
2026-10-03,412.968170166016
2026-11-02,381.141876220703
2026-12-03,370.123046875
2027-01-02,387.845428466797
2027-01-31,428.491455078125
2027-03-03,458.888916015625
2027-04-02,495.6337890625
2027-05-03,523.674072265625
2027-06-02,503.907836914062
2027-07-03,500.870666503906
2027-08-03,489.969879150391
2027-09-02,470.587249755859
2027-10-03,410.376098632812
2027-11-02,377.889587402344
2027-12-03,386.508453369141
2028-01-02,408.5498046875
2028-01-31,415.683166503906
2028-03-02,460.212097167969
2028-04-01,512.182556152344
2028-05-02,515.962890625
2028-06-01,520.392761230469
2028-07-02,506.635681152344
2028-08-02,483.738128662109
2028-09-01,455.114868164062
2028-10-02,424.467071533203
2028-11-01,390.994659423828
2028-12-02,379.605682373047
2029-01-01,412.914978027344
2029-01-30,428.406494140625
2029-03-02,455.256774902344
2029-04-01,511.730987548828
2029-05-02,532.410766601562
2029-06-01,514.303344726562
2029-07-02,509.597534179688
2029-08-02,486.196197509766
2029-09-01,444.398071289062
2029-10-02,416.695129394531
2029-11-01,395.704345703125
2029-12-02,386.577850341797
2030-01-01,395.770172119141
2030-01-30,432.352478027344
2030-03-02,482.983825683594
2030-04-01,507.625915527344
2030-05-02,516.661010742188
2030-06-01,509.498046875
2030-07-02,508.398010253906
2030-08-02,469.155456542969
2030-09-01,440.528869628906
2030-10-02,409.415008544922
2030-11-01,389.176879882812
2030-12-02,391.051696777344
2031-01-01,414.196899414062
2031-01-30,433.164428710938
2031-03-02,471.470306396484
2031-04-01,517.749267578125
2031-05-02,502.932250976562
2031-06-01,503.096099853516
2031-07-02,501.984924316406
2031-08-02,497.654235839844
2031-09-01,473.481414794922
2031-10-02,438.234649658203
2031-11-01,395.923461914062
2031-12-02,386.163238525391
2032-01-01,406.409790039062
2032-01-30,458.246978759766
2032-03-01,477.945739746094
2032-03-31,507.514190673828
2032-05-01,537.240356445312
2032-05-31,523.432861328125
2032-07-01,513.597534179688
2032-08-01,495.191192626953
2032-08-31,452.79150390625
2032-10-01,422.816162109375
2032-10-31,385.582092285156
2032-12-01,382.114898681641
2032-12-31,405.337524414062
2033-01-29,451.896240234375
2033-03-01,477.353240966797
2033-03-31,490.119232177734
2033-05-01,520.929748535156
2033-05-31,511.380645751953
2033-07-01,501.822052001953
2033-08-01,487.299743652344
2033-08-31,447.47802734375
2033-10-01,411.754760742188
2033-10-31,388.148529052734
2033-12-01,385.156860351562
2033-12-31,399.4404296875
2034-01-29,451.480590820312
2034-03-01,470.537963867188
2034-03-31,493.847473144531
2034-05-01,515.887268066406
2034-05-31,507.504150390625
2034-07-01,510.865600585938
2034-08-01,486.763458251953
2034-08-31,446.422668457031
2034-10-01,417.211883544922
2034-10-31,390.574890136719
2034-12-01,392.052215576172
2034-12-31,403.498138427734
2035-01-29,424.358154296875
2035-03-01,470.344665527344
2035-03-31,499.701110839844
2035-05-01,531.190124511719
2035-05-31,520.179016113281
2035-07-01,512.434753417969
2035-08-01,492.696990966797
2035-08-31,464.585021972656
2035-10-01,414.801483154297
2035-10-31,389.392974853516
2035-12-01,390.401611328125
2035-12-31,390.238342285156
2036-01-29,418.777557373047
2036-02-29,468.905120849609
2036-03-30,505.643188476562
2036-04-30,513.730346679688
2036-05-30,510.360778808594
2036-06-30,506.449890136719
2036-07-31,488.166564941406
2036-08-30,454.241516113281
2036-09-30,418.661163330078
2036-10-30,398.706848144531
2036-11-30,385.854370117188
2036-12-30,411.243560791016
2037-01-28,438.252044677734
2037-02-28,462.169982910156
2037-03-30,511.695556640625
2037-04-30,505.077575683594
2037-05-30,508.748718261719
2037-06-30,517.635131835938
2037-07-31,501.413726806641
2037-08-30,464.987030029297
2037-09-30,423.714691162109
2037-10-30,400.799194335938
2037-11-30,403.492004394531
2037-12-30,403.795837402344
2038-01-28,449.47216796875
2038-02-28,468.581420898438
2038-03-30,503.0078125
2038-04-30,504.890411376953
2038-05-30,520.203918457031
2038-06-30,514.381408691406
2038-07-31,498.562316894531
2038-08-30,471.477416992188
2038-09-30,414.164825439453
2038-10-30,400.479919433594
2038-11-30,390.796752929688
2038-12-30,408.53466796875
2039-01-28,432.583953857422
2039-02-28,469.621887207031
2039-03-30,514.916015625
2039-04-30,532.141967773438
2039-05-30,521.880920410156
2039-06-30,513.355529785156
2039-07-31,502.266296386719
2039-08-30,468.204132080078
2039-09-30,415.306457519531
2039-10-30,393.555114746094
2039-11-30,385.141357421875
2039-12-30,398.364898681641
2040-01-28,434.67822265625
2040-02-28,473.117980957031
2040-03-29,514.6796875
2040-04-29,526.778198242188
2040-05-29,513.208923339844
2040-06-29,513.544799804688
2040-07-30,495.276184082031
2040-08-29,457.444274902344
2040-09-29,432.379821777344
2040-10-29,393.092315673828
2040-11-29,397.520080566406
2040-12-29,406.975433349609
2041-01-27,430.832397460938
2041-02-27,461.105529785156
2041-03-29,508.149536132812
2041-04-29,515.600891113281
2041-05-29,516.906860351562
2041-06-29,519.876159667969
2041-07-30,503.695983886719
2041-08-29,472.550384521484
2041-09-29,414.730224609375
2041-10-29,393.808807373047
2041-11-29,387.768737792969
2041-12-29,396.763366699219
2042-01-27,431.391296386719
2042-02-27,480.214904785156
